KO	wilcoxon
ko00020	11.66230532829439
ko00120	4.315831199660517
ko00130	11.15089823096213
ko00190	10.941888373791553
ko00196	0.0
ko00232	0.0
ko00250	9.654476593985557
ko00280	7.121899707631446
ko00330	9.40766708179477
ko00340	11.459965998480323
ko00351	11.244285613953238
ko00360	11.342120015182019
ko00361	-5.118517991560283
ko00364	0.0
ko00401	11.266520705141597
ko00410	10.984135047049437
ko00471	10.586126914777806
ko00472	11.588929527372805
ko00523	8.624991871964527
ko00540	10.408246185270933
ko00592	7.591060131705825
ko00623	10.672843770412408
ko00630	11.724563583621796
ko00633	11.217603504527206
ko00643	10.403799167033261
ko00680	10.370446530250723
ko00710	10.514974622975057
ko00720	11.802386402781053
ko00760	8.816213656184415
ko00860	11.735681129215976
ko00901	0.0
ko00906	8.12692582934528
ko00910	11.657858310056719
ko00941	0.8093573192562742
ko00944	10.44826934940998
ko00960	11.608941109442329
ko00965	0.0
ko00984	0.0
ko01053	7.2997804371383195
ko01056	0.0
ko02040	10.577232878302462
ko03018	8.153607938771312
ko04614	0.0
ko04964	7.199722526790703
ko05134	10.661726224818228
