s__Fusobacterium_varium	k__Bacteria	p__Fusobacteria	c__Fusobacteria	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__varium
s__Selenomonas_artemidis	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales	f__Veillonellaceae	g__Selenomonas	s__artemidis
s__Neisseria_lactamica	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Neisseria	s__lactamica
s__Streptococcus_salivarius	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__salivarius
s__Capnocytophaga_gingivalis	k__Bacteria	p__Bacteroidetes	c__Flavobacteria	o__Flavobacteriales	f__Flavobacteriaceae	g__Capnocytophaga	s__gingivalis
s__Haemophilus_unclassified	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Haemophilus	s__unclassified
s__Klebsiella_unclassified	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Klebsiella	s__unclassified
s__Burkholderia_cenocepacia	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia	s__cenocepacia
s__Treponema_phagedenis	k__Bacteria	p__Spirochaetes	c__Spirochaetes	o__Spirochaetales	f__Treponemaceae	g__Treponema	s__phagedenis
s__Afipia_unclassified	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Afipia	s__unclassified
s__Lactobacillus_casei	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__casei
s__Megamonas_hypermegale	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales	f__Veillonellaceae	g__Megamonas	s__hypermegale
