KO	wilcoxon
ko00020	10.799583790186054
ko00120	6.090191476491579
ko00130	9.823463287017086
ko00190	10.868512572869967
ko00196	7.904574917461689
ko00232	6.219155005384063
ko00250	4.542629129781781
ko00280	5.923428292578886
ko00330	8.387076396249084
ko00340	4.415889110008133
ko00351	9.988002961810944
ko00360	8.06244406489904
ko00361	6.090191476491579
ko00364	5.821146873112434
ko00401	6.903995813985526
ko00410	8.72060276407447
ko00471	7.668882950865082
ko00472	11.339896506063182
ko00523	5.547655251495616
ko00540	8.582745198706643
ko00592	6.603822082942677
ko00623	9.694499758124604
ko00630	9.263138989070436
ko00633	10.368223021131886
ko00643	10.890747664058328
ko00680	8.435993596863474
ko00710	6.739456139191668
ko00720	11.442177925529634
ko00760	3.6598960096039215
ko00860	11.293202814567628
ko00901	9.055240886459277
ko00906	5.585454906515826
ko00910	11.386590197558737
ko00941	9.103046332514248
ko00944	7.3976148383671
ko00960	10.926323809959701
ko00965	5.403127158771281
ko00984	6.156896750056657
ko01053	6.401482753128608
ko01056	3.9778578135974576
ko02040	8.020197391641156
ko03018	6.817278958350925
ko04614	6.4615174993371784
ko04964	8.894036475343672
ko05134	10.766231153403515
