Taxa	ko00020	ko00120	ko00130	ko00190	ko00196	ko00232	ko00250	ko00280	ko00330	ko00340	ko00351	ko00360	ko00361	ko00364	ko00401	ko00410	ko00471	ko00472	ko00523	ko00540	ko00592	ko00623	ko00630	ko00633	ko00643	ko00680	ko00710	ko00720	ko00760	ko00860	ko00901	ko00906	ko00910	ko00941	ko00944	ko00960	ko00965	ko00984	ko01053	ko01056	ko02040	ko03018	ko04614	ko04964	ko05134
s__Abiotrophia_defectiva	0.004220629901335622	0.030343000163398633	0.03549516335873076	-0.033517351997526215	0.0	0.0	0.21895257076244043	0.018493334935143383	0.10874059642987484	0.05074428146269683	0.027439038740801055	0.006779771870320047	0.05400640339362056	0.0	0.053877439864728115	0.07603903822536996	0.018214811161310244	0.0360346568870378	0.15901957935275635	0.05827419509363462	0.03642447314360846	0.0051552644054189455	0.07681837817152191	0.05738602022745545	-0.16512182458920788	-0.07194023321838744	0.04530645585899211	-0.00010473898217674797	0.16368221946155737	0.06142590224278881	0.0	0.04365000007885724	0.07082057935025779	0.03862206082719059	0.05179535762852971	0.02922814439389387	0.0	0.0	0.06183824615753717	0.0	0.035931263713011925	0.0381625551137638	0.0	0.06265169941464394	0.04991093365031627
s__Actinomyces_odontolyticus	0.07190260910356078	-0.09294949797819259	0.22270913090531586	0.42005428369828557	0.0	0.0	0.0582617317398896	0.5371250815016851	-0.0898460936389752	-0.10974620768556732	-0.04794476645528666	-0.2075422241253489	-0.12665581899412084	0.0	-0.05020004834916278	0.5690748010570342	-0.05503887229893265	-0.11417561339048204	0.13109066644503703	-0.14995907226048924	-0.1050519703419197	0.0806097537861265	-0.050068042123581374	-0.16320732472449226	-0.1283601387337086	-0.1094302353371012	0.0249029510505751	-0.2201340147787146	0.49667114172756316	-0.01197862875714773	0.0	-0.09615454008949982	0.28600553093762643	-0.09995135745010579	-0.1140870826195137	-0.09780842128012868	0.0	0.0	0.08320821675847562	0.0	-0.08287720646675835	0.007877892808035665	0.0	0.46999997430693324	0.1431808217385137
s__Actinomyces_oris	-0.027043371144443985	0.061357324540492086	-0.01532998361981424	-0.13012402511232207	0.0	0.0	-0.08035492793842834	-0.3606124537502726	-0.15245583894735062	-0.07808062919024632	0.042382833934712184	0.062367616868013724	-0.7865765321194347	0.0	0.06299915197116099	-0.31324796466160415	0.27512818284167884	0.04052128869506364	-0.04545607461733063	0.06071765607504172	0.04430511608134375	-0.0908669768915102	-0.01634185580907818	0.05313502187262837	0.04947459924244363	0.0031761657494613848	0.12344355047817732	0.02264246146428907	0.02410675924583825	0.05131935113690523	0.0	0.05960759840416181	-0.07953018159553381	0.05179752262425067	0.043950758943878725	0.030821405704335548	0.0	0.0	-0.02617427164596846	0.0	0.039827904930374	0.008414577693245216	0.0	-0.3802566301946071	-0.13247684884043767
s__Actinomyces_viscosus	-0.06347059441775209	0.04320412798713275	-0.057799651436956784	-0.19302768321816877	0.0	0.0	-0.057767820148518695	-0.24287735334092136	-0.36721785569495763	-0.12833281297690605	0.04175896408668514	0.005993995450402997	-1.0286639545891905	0.0	-0.04315339687118458	-0.2369167105273009	0.3803170745346007	0.052877445895230545	-0.060062130478770175	0.07570164997328555	0.06552927129480479	-0.15649408258754374	-0.018046819196042417	0.072937594084981	0.06561060491783588	0.02801422544180519	-0.027037812371646902	-0.016003882423015123	-0.34362250354645163	0.04359979558348982	0.0	0.05900081446831108	-0.10941999549247497	0.06916441613711222	0.07860052073026892	-0.02789953918199154	0.0	0.0	-0.03863645512306515	0.0	0.05784441418632281	-0.07433547915995446	0.0	-0.21032863213163758	-0.1781309327961403
s__Aggregatibacter_aphrophilus	-0.008532716243532834	0.004575162578994222	-0.02192578936724954	0.0022765222573007987	0.0	0.0	0.010736155266901368	0.004018407598317279	-0.008124409753237121	-0.01592605960385586	0.004860122826592403	-0.014923374018056596	-0.13085368718368737	0.0	-0.025140690986096975	-0.00434649222014129	0.0011150313096983451	0.005325772446794933	0.013095532495577744	-0.015222260454346414	0.0066245943391844316	-0.009373729311033582	-0.011744458138895592	-0.02307715749702152	0.00624010280181941	-0.025685684773803202	-0.024320508688235813	-0.003995879940139612	-0.010587531236326555	-0.001466228723678694	0.0	0.007518445004956467	-0.0025080012592511884	0.006446245502494642	0.006138699083320919	-0.016862273969681506	0.0	0.0	-0.003736373020612292	0.0	0.004939525507493986	-0.018054074857377544	0.0	0.008435349949486963	0.009335988169411245
s__Aggregatibacter_segnis	-0.0034747596187619007	0.004130051161441989	-0.009255415220552376	0.0022605480996838877	0.0	0.0	0.0027617738657878064	0.047087720716771135	-0.018986193285352716	0.01187494301613255	0.003984294287362509	-0.0012533569822490835	0.01111239641516755	0.0	-0.014423084466318504	0.015858886223107885	0.004831275721445392	0.0076818144117930505	0.015434371521603811	-0.018245764748780376	0.010842766677809763	-0.010956984830440488	-0.010432587758782398	-0.02705542490440401	0.007034831771609656	-0.01623489331778258	-0.009096317291759875	-0.0026693226971625213	0.006210260968908706	-0.002183193387707544	0.0	0.011959611902841899	-0.0028917321224439735	0.011821286230291144	0.008526221256369917	-0.004490903286069911	0.0	0.0	-0.003947606386901706	0.0	0.008931894643761746	-0.02379388810745887	0.0	0.010545226049670797	0.01100250825397876
s__Alistipes_putredinis	-0.0010187182568140343	-0.1571235989784648	-0.0017609021953223273	-0.004754623170243434	0.0	0.0	-0.003313964801431345	-0.017930670101282166	0.003399101795323614	-0.0006754786649431925	0.001507188102183566	0.00022352117984087802	0.005090841154370562	0.0	0.0035834189985955254	-0.004232040013919114	-0.012343752359819757	0.002406597540752693	-0.007230968681250128	-0.0017624820570646502	0.0033480781123861134	-0.0012775230155669562	-0.0016478543106488788	0.0033126189932804625	0.0031483718854759322	-0.007837401536713697	-0.0010375010575284123	-0.0027212240810679912	-0.0072996048969447315	0.0021154348729809204	0.0	0.0033575572828400957	-0.0034560938448432443	-0.23388203017387482	0.0010461610404123019	0.004518170529474592	0.0	0.0	0.00465240026417484	0.0	0.0019026216449491758	-0.003508170768942306	0.0	-0.01152655424524967	-0.0020451017687482653
s__Atopobium_parvulum	-0.11972847633438756	-0.02647874611175433	-0.08808320198812547	-0.10712381273349181	0.0	0.0	-0.03530394157451088	-0.19381773111612988	-0.04753300767451698	-0.043481071899223546	-0.02009127731741418	-0.009527853601007635	-0.04829438400752467	0.0	-0.07264058007742284	0.09531300040141835	-0.017140329636331733	-0.038480575431155184	0.12713644804417668	-0.07141554357973999	-0.04270699815887934	-0.08491329717223557	-0.00513109837210107	-0.06425789218601359	-0.060690037751249856	-0.08650064862949292	0.1648941489581187	-0.1372356849753273	0.0309331077808581	-0.0677767123933671	0.0	-0.03919818374256056	-0.030115909666288056	-0.039044469046371516	-0.04458270364081102	-0.033856963758729465	0.0	0.0	-0.06265433251754782	0.0	-0.03123058989559921	-0.04181870626590436	0.0	-0.05058769961001246	-0.05646379056371931
s__Bacteroides_stercoris	-0.0015795106619435992	-0.06396447675242407	-0.0018101119629260357	-0.004143158162563553	0.0	0.0	-0.027698311606736904	-0.0031732400795681792	-0.008544184869514198	-0.006337644636058868	0.001009063546166458	-0.00790159073417062	0.0031391267686134033	0.0	-0.002424151560111936	-0.0021617774840892857	-0.008786371823273728	0.0019098773062843227	-0.0067527386805068135	-0.001193263722642656	0.0026724239072493166	-0.0003428885114836409	-0.00458101391878064	0.0020008656399630037	0.001985652156518341	-0.004687625329689023	-0.0032533449212441374	-0.0037398838244841557	-0.0033060069793218396	-0.0009096492831953461	0.0	0.0019286015936008413	-0.0025397155208935194	0.0012710280284040465	0.000463309084287971	-0.002365579648849958	0.0	0.0	-0.0009764715835561495	0.0	0.001792382403373206	-0.007169178533105637	0.0	-0.006946418027436991	-0.0010063719298647065
s__Bacteroides_unclassified	-0.0013685698626435083	4.070833086727411	-0.0023695000465068627	-0.009627092323785164	0.0	0.0	-0.05108360065691074	-0.01751698037838296	-0.009609421277630193	-0.0021588518141960754	0.0035223310112254135	-0.010483026307741257	0.0008722592219601949	0.0	-0.006163684304208902	-0.005381828281948734	-0.00555426726545428	0.004495642871296906	-0.021678102154090776	-0.004264690489927293	-0.0004919806492413785	-0.0009491458267535957	-0.00405848927585419	0.0024483761068276448	0.0037868700829690235	-0.008147405518597706	-0.006362220263161795	-0.009980981354067256	-0.011080506613331619	-0.0020603152521929367	0.0	0.006479949219664376	-0.0021555750639156925	0.007485677502152574	-0.03124638851302242	-0.004756846679362255	0.0	0.0	-0.0006042093463447243	0.0	-0.003845793074618187	-0.004641809339161431	0.0	-0.015402130639380679	-0.002102327871859364
