# PyCode/FiShTaCo/fishtaco/compute_contribution_to_DA.py {'functional_profile_already_corrected_with_musicc': True, 'map_function_level': 'pathway', 'taxa_abun_file': 'HMP_DATA/TONGUE_DORSUM_vs_BUCCAL_MUCOSA/METAPHLAN_taxa_vs_SAMPLE.tab', 'number_of_shapley_orderings_per_taxa': '5', 'max_da_functions_cases_controls': '200', 'function_abun_file': 'HMP_DATA/WGS_KO_vs_SAMPLE_MUSiCC.tab', 'number_of_permutations': '100', 'normalization_mode': 'scale_permuted', 'taxa_to_function_file': 'HMP_DATA/METAPHLAN_taxa_vs_KO.tab', 'write_log': True, 'da_result_file': 'HMP_DATA/TONGUE_DORSUM_vs_BUCCAL_MUCOSA/Output_METAPHLAN_REMOVE_RESIDUAL_SCALE_PERMUTED_MAPPING_IMG_MEAN/Parallel/DA_of_PATHWAY.tab', 'taxa_assessment_method': 'multi_taxa', 'max_score_cutoff': '100', 'na_rep': '0', 'case_label': '1', 'single_function_filter': 'ko00020', 'map_function_file': '/net/gs/vol1/home/ohadm/MUSiCC/Matrices/KOvsPATHWAY_BACTERIAL_KEGG_2013_07_15', 'control_label': '0', 'perform_inference_on_ko_level': False, 'score_to_compute': 'wilcoxon', 'class_file': 'HMP_DATA/TONGUE_DORSUM_vs_BUCCAL_MUCOSA/SAMPLE_vs_CLASS.tab', 'apply_inference': False, 'output_pref': 'HMP_DATA/TONGUE_DORSUM_vs_BUCCAL_MUCOSA/Output_METAPHLAN_REMOVE_RESIDUAL_SCALE_PERMUTED_MAPPING_IMG_MEAN/Parallel/ko00020/pathway_with_t2f', 'residual_mode': 'remove_residual', 'multiple_hypothesis_correction': 'Bonf', 'permutation_mode': 'blocks'}
Function	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
ko00910	14.985779547270358	9.939494182167405	11.386590197558734	4.877034988775739e-30	29.311844128686122	1.0	1.0	1.0	1.0	ko00910
ko00941	0.06712995099208519	0.03519574943149577	9.103046332514248	8.783293540080173e-20	19.056342602764577	1.0	1.0	1.0	1.0	ko00941
ko00944	0.010348061064002174	0.0065917373191836616	7.3976148383671	1.3865231438743952e-13	12.858072876772704	1.0	1.0	1.0	1.0	ko00944
ko00960	1.5433220527758484	1.0491352091849735	10.9263238099597	8.627308790201838e-28	27.06412465733702	1.0	1.0	1.0	1.0	ko00960
ko00965	0.0008431723981644559	0.0005031917025781998	5.403127158771281	6.548899900532139e-08	7.1838316476806465	1.0	1.0	1.0	1.0	ko00965
ko00984	0.0043720344902265715	0.002394707859150643	6.156896750056657	7.418417817859058e-10	9.129688710117604	1.0	1.0	1.0	1.0	ko00984
ko01053	0.4542983832937774	0.3360630534298645	6.401482753128607	1.53875197807847e-10	9.812831375771099	1.0	1.0	1.0	1.0	ko01053
ko01056	0.001443406580977686	0.0014322780154989215	3.9778578135974576	6.953893201038068e-05	4.15777198356303	1.0	1.0	1.0	1.0	ko01056
ko02040	1.179773649658521	0.5199670523016374	8.020197391641156	1.0557536933155863e-15	14.976437390619347	1.0	1.0	1.0	1.0	ko02040
ko03018	9.29234216199476	8.576196138601476	6.817278958350924	9.278099978372664e-12	11.032540951948581	1.0	1.0	1.0	1.0	ko03018
ko04614	0.011938838315460859	0.008258175766413859	6.461517499337178	1.0365816563681948e-10	9.984396480822127	1.0	1.0	1.0	1.0	ko04614
ko04964	0.38084849013447214	0.20401647979861454	8.894036475343672	5.892833997244826e-19	18.22967579292759	1.0	1.0	1.0	1.0	ko04964
ko05134	2.652309510227944	2.152784188879453	10.766231153403515	4.969287136898621e-27	26.303705907990274	1.0	1.0	1.0	1.0	ko05134
